,year,id,wrkstat,evwork,occ,prestige,wrkslf,industry,found,occ10,occindv,occstatus,occtag,prestg10,prestg105plus,indus10,indstatus,indtag,marital,agewed,divorce,spwrksta,spevwork,spocc,sppres,spwrkslf,spind,spocc10,spoccindv,spoccstatus,spocctag,sppres10,sppres105plus,spind10,spindstatus,spindtag,paocc16,papres16,pawrkslf,paind16,paocc10,paoccindv,paoccstatus,paocctag,papres10,papres105plus,paind10,paindstatus,paindtag,maocc10,maoccindv,maoccstatus,maocctag,mapres10,mapres105plus,maind10,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,mobile16,family16,incom16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income72,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,vote68,pres68,if68who,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,cappun2,gunlaw,courts,relig,denom,other,fund,attend,racmar,racdin,racpush,racseg,raclive,racclos,racdis,racinteg,racobjct,racschol,racfew,rachaf,racmost,busing,racpres,racjob,happy,health,helpful,fair,trust,satjob,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,fework,fepres,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,premarsx,news,coop2,comprend,povline,incdef,realinc,coninc,ethnic,ethnum,workdy,workhr,spdays,sphour,isco68,paisco68,spisco68,sei10,sei10educ,sei10inc,pasei10,pasei10educ,pasei10inc,masei10,masei10educ,masei10inc,spsei10,spsei10educ,spsei10inc,cohort,marcohrt,formwt,sample,oversamp,wtss,wtssnr,wtssall,fileversion
930,1972,931,1,,522.0,41.0,2.0,917.0,0,6440.0,,6,2,43.0,50.0,9590.0,6,2,1,17.0,1.0,7.0,1.0,925.0,36.0,2.0,838.0,3600.0,,6,2,48.0,50.0,8190.0,6,2,801.0,41.0,1.0,17.0,205.0,,6,2,46.0,58.0,,7,3,,,4,2,,,,4,2,5.0,8.0,34.0,10.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,1,1,2.0,3,1.0,1,3.0,6,1,3,0,2,0.0,1.0,5.0,3,1,2,275,3.0,7.81,1.25,3.91,7.28,43.4,6.81,6.91,7.97,3.06,4.02,33.6,1.68,7.97,1.51,3.84,6.62,30.9,3.0,1.0,3.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,28.0,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,8.0,2.0,,,4.0,1.0,1.0,1.0,3.0,5.0,24366.0,33333.0,25.0,1.0,1.0,1.0,,,8710.0,6110.0,720.0,36.2,27.8,47.7,39.9,45.2,40.3,,,,24.2,40.8,11.3,1938.0,1955.0,,1,1.0,,,0.8893,7222.1
931,1972,932,1,,822.0,18.0,2.0,17.0,0,6050.0,,6,2,27.0,18.0,,7,3,1,33.0,2.0,7.0,2.0,,,,,,,4,2,,,,4,2,801.0,41.0,1.0,17.0,205.0,,6,2,46.0,58.0,,7,3,,,4,2,,,,4,2,7.0,4.0,58.0,12.0,4.0,8.0,8.0,1.0,0.0,0.0,0.0,1,1,2.0,4,2.0,1,3.0,4,0,1,1,2,0.0,2.0,4.0,4,10,5,2,6.61,7.97,4.74,2.53,3.75,10.8,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,4.0,1.0,2.0,,1.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,38.0,,2.0,3.0,1.0,2.0,2.0,3.0,2.0,,,,3.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,,,3.0,1.0,2.0,1.0,3.0,5.0,18951.0,25926.0,19.0,1.0,1.0,1.0,,,6210.0,6110.0,,14.0,14.1,7.7,39.9,45.2,40.3,,,,,,,1914.0,1947.0,,1,1.0,,,0.8893,7222.1
932,1972,933,1,,950.0,36.0,2.0,858.0,0,4230.0,,6,2,25.0,14.0,7870.0,6,2,1,19.0,2.0,1.0,,801.0,41.0,1.0,17.0,205.0,,6,2,46.0,58.0,,7,3,801.0,41.0,1.0,17.0,205.0,,6,2,46.0,58.0,,7,3,,,4,2,,,,4,2,7.0,1.0,59.0,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,2,1,2.0,4,1.0,1,2.0,2,0,0,0,2,0.0,2.0,2.0,4,10,5,2,3.03,4.99,7.76,3.59,5.05,36.6,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,1.0,1.0,1.0,,2.0,5.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,,,2.0,7.0,2.0,3.0,1.0,1.0,2.0,,,,3.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,2.0,1.0,5.0,4.0,8122.0,11111.0,21.0,1.0,1.0,1.0,2.0,1.0,5201.0,6110.0,6110.0,12.6,17.3,4.5,39.9,45.2,40.3,,,,39.9,45.2,40.3,1913.0,1932.0,,1,1.0,,,0.8893,7222.1
933,1972,934,1,,205.0,50.0,2.0,528.0,0,520.0,,6,2,45.0,49.0,4480.0,6,2,1,24.0,2.0,7.0,1.0,925.0,36.0,2.0,838.0,3600.0,,6,2,48.0,50.0,8190.0,6,2,245.0,50.0,1.0,67.0,,,7,3,,,770.0,6,2,,,4,2,,,,4,2,2.0,3.0,35.0,12.0,8.0,12.0,10.0,1.0,0.0,1.0,0.0,1,1,3.0,4,3.0,1,3.0,5,1,2,0,2,0.0,1.0,5.0,4,10,5,2,1.2,5.09,7.93,4.43,6.61,50.7,6.81,6.91,7.97,3.06,4.02,33.6,1.97,5.59,7.18,4.37,6.61,48.3,2.0,1.0,1.0,,1.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,,1.0,38.0,,2.0,5.0,2.0,3.0,1.0,4.0,2.0,,,,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,,,1.0,1.0,1.0,1.0,3.0,5.0,24366.0,33333.0,19.0,1.0,2.0,1.0,,,4220.0,2190.0,720.0,50.0,64.6,47.6,,,,,,,24.2,40.8,11.3,1937.0,1961.0,,1,1.0,,,0.8893,7222.1
934,1972,935,1,,801.0,41.0,1.0,17.0,0,205.0,,6,2,46.0,58.0,,7,3,1,25.0,2.0,1.0,,142.0,60.0,2.0,857.0,2310.0,,6,2,61.0,85.0,7860.0,6,2,801.0,41.0,1.0,17.0,205.0,,6,2,46.0,58.0,,7,3,,,4,2,,,,4,2,7.0,3.0,56.0,12.0,8.0,8.0,18.0,1.0,0.0,0.0,4.0,1,1,2.0,4,1.0,1,2.0,2,0,0,0,2,0.0,2.0,11.0,4,10,5,2,1.68,7.97,1.51,3.84,6.62,30.9,1.97,2.03,8.0,4.99,6.14,63.6,1.68,7.97,1.51,3.84,6.62,30.9,0.0,1.0,2.0,,2.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,48.0,,3.0,4.0,1.0,3.0,1.0,1.0,2.0,,,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,,,1.0,1.0,1.0,1.0,3.0,8.0,74452.0,101852.0,19.0,1.0,2.0,1.0,1.0,1.0,6110.0,6110.0,1330.0,39.9,45.2,40.3,39.9,45.2,40.3,,,,80.9,98.9,60.7,1916.0,1941.0,,1,1.0,,,0.8893,7222.1
935,1972,936,7,1.0,310.0,31.0,2.0,628.0,0,4720.0,,6,2,28.0,16.0,4970.0,6,2,1,18.0,2.0,1.0,,715.0,32.0,1.0,417.0,9130.0,,6,2,35.0,29.0,6170.0,6,2,770.0,20.0,2.0,528.0,9620.0,,6,2,25.0,16.0,4480.0,6,2,,,4,2,,,,4,2,6.0,2.0,29.0,10.0,8.0,8.0,12.0,0.0,0.0,0.0,1.0,2,1,3.0,4,3.0,1,2.0,4,1,1,0,2,0.0,2.0,6.0,4,10,5,2,3.91,6.06,7.97,3.11,2.44,27.4,6.87,7.95,3.13,2.94,3.33,29.1,6.81,7.92,6.9,2.07,2.36,25.3,1.0,1.0,1.0,,2.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,,1.0,3.0,1.0,38.0,,2.0,3.0,2.0,3.0,2.0,2.0,2.0,,,,3.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,1.0,3.0,2.0,,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,3.0,3.0,2.0,1.0,3.0,6.0,30458.0,41667.0,11.0,2.0,,,2.0,1.0,3311.0,9711.0,9852.0,21.6,35.0,9.9,23.3,24.1,18.9,,,,32.0,25.4,39.4,1943.0,1961.0,,1,1.0,,,0.8893,7222.1
936,1972,937,7,1.0,770.0,20.0,2.0,17.0,0,9620.0,,6,2,25.0,16.0,,7,3,1,18.0,2.0,1.0,,822.0,18.0,2.0,17.0,6050.0,,6,2,27.0,18.0,,7,3,,,,,,,4,2,,,,4,2,,,4,2,,,,4,2,7.0,4.0,30.0,8.0,,8.0,11.0,0.0,,0.0,0.0,2,1,3.0,4,2.0,5,2.0,6,1,3,0,2,0.0,1.0,5.0,4,10,5,2,6.81,7.92,6.9,2.07,2.36,25.3,6.61,7.97,4.74,2.53,3.75,10.8,,,,,,,7.0,2.0,,,1.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,38.0,,2.0,2.0,1.0,3.0,2.0,3.0,2.0,,,,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,,2.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,24366.0,33333.0,,3.0,,,2.0,1.0,9711.0,,6210.0,23.3,24.1,18.9,,,,,,,14.0,14.1,7.7,1942.0,1960.0,,1,1.0,,,0.8893,7222.1
937,1972,938,7,2.0,,,,,0,,,4,2,,,,4,2,1,19.0,2.0,1.0,,822.0,18.0,2.0,17.0,6050.0,,6,2,27.0,18.0,,7,3,205.0,50.0,2.0,528.0,520.0,,6,2,45.0,49.0,4480.0,6,2,,,4,2,,,,4,2,4.0,7.0,52.0,8.0,,,7.0,0.0,0.0,0.0,0.0,2,1,6.0,4,3.0,3,3.0,3,0,1,0,2,0.0,1.0,5.0,4,10,5,2,,,,,,,6.61,7.97,4.74,2.53,3.75,10.8,1.2,5.09,7.93,4.43,6.61,50.7,3.0,1.0,3.0,,2.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,38.0,,2.0,5.0,1.0,3.0,1.0,1.0,2.0,,,,3.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,3.0,2.0,1.0,3.0,1.0,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,,,,3.0,1.0,1.0,3.0,6.0,24366.0,33333.0,24.0,1.0,,,1.0,1.0,,4220.0,6210.0,,,,50.0,64.6,47.6,,,,14.0,14.1,7.7,1920.0,1939.0,,1,1.0,,,0.8893,7222.1
938,1972,939,4,,780.0,17.0,2.0,137.0,0,,,7,3,,,2470.0,6,2,1,21.0,2.0,1.0,,715.0,32.0,2.0,77.0,9130.0,,6,2,35.0,29.0,770.0,6,2,903.0,16.0,1.0,57.0,4220.0,,6,2,24.0,15.0,470.0,6,2,,,4,2,,,,4,2,3.0,3.0,44.0,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2,2,3.0,7,1.0,1,3.0,3,0,0,0,3,0.0,2.0,3.0,7,8,6,0,7.0,8.0,5.91,2.36,3.84,25.0,6.87,7.95,3.13,2.94,3.33,29.1,5.79,7.85,4.81,2.83,3.62,22.7,0.0,1.0,2.0,,2.0,5.0,2.0,1.0,4.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,2.0,7.0,,,,,,,,,,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,,2.0,1.0,,2.0,1.0,2.0,2.0,2.0,6.0,2.0,,,1.0,1.0,1.0,1.0,3.0,5.0,13537.0,18519.0,,,,,5.0,4.0,9990.0,5510.0,9852.0,,,,20.7,22.3,14.7,,,,32.0,25.4,39.4,1928.0,1949.0,,1,1.0,,,1.3339,7222.1
939,1972,940,5,1.0,415.0,40.0,1.0,69.0,0,6230.0,,6,2,44.0,49.0,770.0,6,2,1,21.0,2.0,7.0,2.0,,,,,,,4,2,,,,4,2,780.0,17.0,1.0,107.0,,,7,3,,,270.0,6,2,,,4,2,,,,4,2,6.0,0.0,59.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,2,3.0,7,1.0,1,2.0,2,0,0,0,2,0.0,0.0,1.0,7,8,6,0,3.27,7.84,1.26,3.87,7.61,38.7,,,,,,,6.95,8.0,5.5,1.96,3.02,13.8,0.0,1.0,2.0,,2.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,,,2.0,2.0,1.0,28.0,,2.0,6.0,,,,,,,,,,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,1.0,3.0,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,,,,1.0,2.0,1.0,1.0,1.0,3.0,2707.0,3704.0,,3.0,,,,,9540.0,9990.0,,28.7,25.7,30.3,,,,,,,,,,1913.0,1934.0,,1,1.0,,,0.8893,7222.1
