UnitID,Institution Name,Sector of institution (HD2022),Control of institution (HD2022),Degree-granting status (HD2022),Degree of urbanization (Urban-centric locale) (HD2022),Institutional category (HD2022),Institution size category (HD2022),Carnegie Classification 2021: Basic (HD2022),Carnegie Classification 2021: Undergraduate Instructional Program (HD2022),Carnegie Classification 2021: Graduate Instructional Program (HD2022),Carnegie Classification 2021: Undergraduate Profile (HD2022),Carnegie Classification 2021: Enrollment Profile (HD2022),Carnegie Classification 2021: Size and Setting (HD2022),Does institution have a tenure system (FLAGS2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Number of students receiving a Doctor's degree (DRVC2022),Number of students receiving a Master's degree (DRVC2022),Number of students receiving a Bachelor's degree (DRVC2022),Number of students receiving an Associate's degree (DRVC2022),Published in-district tuition and fees 2022-23 (IC2022_AY),Total number of undergraduates - financial aid cohort (SFA2021),Percent of full-time first-time undergraduates awarded any financial aid (SFA2021),Percent admitted - total (DRVADM2021),Percent admitted - men (DRVADM2021),Percent admitted - women (DRVADM2021),Admissions yield - total (DRVADM2021),Admissions yield - men (DRVADM2021),Admissions yield - women (DRVADM2021),Graduation rate  total cohort (DRVGR2021),Graduation rate  men (DRVGR2021),Graduation rate  women (DRVGR2021),Core revenues  total dollars (GASB) (DRVF2021),Tuition and fees as a percent of core revenues (GASB) (DRVF2021),State appropriations as percent of core revenues  (GASB) (DRVF2021),Private gifts  grants  and contracts as a percent of core revenues (GASB) (DRVF2021),Government grants and contracts as a percent of core revenues (GASB) (DRVF2021),Local appropriations as a percent of core revenues (GASB) (DRVF2021),Investment return as a percent of core revenues (GASB) (DRVF2021),Other revenues as a percent of core revenues (GASB) (DRVF2021),Salaries and wages for core expenses as a percent of total core expenses (GASB) (DRVF2021),Salaries and wages for instruction as a percent of total expenses for instruction (GASB) (DRVF2021),Salaries and wages for research as a percent of total expenses for research (GASB) (DRVF2021),Salaries and wages for public service as a percent of total expenses for public service (GASB) (DRVF2021),Salaries and wages for academic support as a percent of total expenses for academic support (GASB) (DRVF2021),Salaries and wages for student services as a percent of total expenses for student services (GASB) (DRVF2021),Salaries and wages for institutional support as a percent of total expenses for institutional support (GASB) (DRVF2021),Salaries and wages for other core expense functions as a percent of total expenses for other core expense functions (GASB) (DRVF2021),Total salaries  wages  and benefits as a percent of total expenses (GASB) (DRVF2021),Total salaries and wages as a percent of total expenses (GASB) (DRVF2021),Total FTE staff (DRVHR2021),Instructional  research and public service FTE (DRVHR2021),Instructional FTE (DRVHR2021),Research FTE (DRVHR2021),Public Service FTE (DRVHR2021),Librarians  Curators  and Archivists/Student and Academic Affairs and Other Education Services FTE (DRVHR2021),Librarians  Curators  and Archivists FTE (DRVHR2021),Student and Academic Affairs and Other Education Services FTE (DRVHR2021),Management FTE (DRVHR2021),Business and Financial Operations FTE (DRVHR2021),Computer  Engineering  and Science FTE (DRVHR2021),Community Service  Legal  Arts  and Media FTE (DRVHR2021),Healthcare FTE (DRVHR2021),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2021),Service FTE (DRVHR2021),Sales and Related FTE (DRVHR2021),Office and Administrative Support FTE (DRVHR2021),Natural Resources  Construction  and Maintenance FTE (DRVHR2021),Production  Transportation  and Material Moving FTE (DRVHR2021),Student-to-faculty ratio (EF2021D),
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,2,2,1,21,2,1,21,6,3,13,6,8,1,41282,41282,43690,43690,0,21,12,0,22490,46,100,76,74,79,9,12,5,58,59,56,,,,,,,,,,,,,,,,,,,76,19,17,2,0,7,1,6,12,9,4,6,0,19,7,0,12,0,0,7,
166133,Holyoke Community College,4,1,1,21,4,2,1,1,0,1,1,3,1,,,20870,25814,,,,553,5570,4209,99,,,,,,,23,22,23,72182087,16,43,0,30,0,4,7,51,66,,,64,68,55,13,65,51,475,182,182,0,0,80,7,73,53,4,16,25,1,114,29,0,73,5,7,12,
164368,Hult International Business School,2,2,1,12,2,2,29,20,2,14,6,11,2,75085,75085,75085,75085,0,983,147,0,50825,661,90,51,50,52,21,23,19,63,59,71,,,,,,,,,,,,,,,,,,,201,68,68,0,0,56,0,56,15,8,6,5,0,43,0,39,4,0,0,10,
484057,Jupiter Beauty Academy,9,3,2,11,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,444,9,,,,,,,78,,,,,,,,,,,,,,,,,,,,,7,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,
165264,Laboure College of Healthcare,2,2,1,21,3,1,26,18,0,5,2,6,2,,,48013,48013,0,0,109,323,32813,1188,100,75,,75,33,,33,100,,100,,,,,,,,,,,,,,,,,,,128,73,73,0,0,5,3,2,25,6,4,9,0,6,0,0,6,0,0,6,
166391,Lasell University,2,2,1,13,2,2,18,16,4,12,4,11,2,62630,62630,54130,54130,0,243,300,1,42630,1492,100,85,84,86,14,15,13,67,65,68,,,,,,,,,,,,,,,,,,,311,117,117,0,0,30,4,26,46,19,11,39,4,45,22,0,14,9,0,12,
166407,Lawrence Memorial Hospital School of Nursing,5,2,1,21,4,1,10,4,0,1,1,1,2,,,50749,50749,,,,115,27587,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,44,44,0,0,5,1,4,4,0,1,0,0,1,0,0,1,0,0,6,
166452,Lesley University,2,2,1,12,2,2,17,13,18,7,5,10,2,53352,53352,46814,46814,29,617,463,0,31364,1861,100,87,78,90,11,11,11,60,52,63,,,,,,,,,,,,,,,,,,,559,263,263,0,0,10,3,7,81,16,16,41,5,127,4,0,123,0,0,10,
165556,Lincoln Technical Institute-Somerville,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,807,83,,,,,,,58,,,,,,,,,,,,,,,,,,,,,33,13,13,0,0,1,0,1,12,0,0,0,0,7,0,0,7,0,0,28,
166489,Longy School of Music of Bard College,2,2,1,12,1,1,30,0,5,0,6,18,2,,,67675,67675,0,45,0,0,50675,41,100,89,86,91,12,14,12,0,0,0,,,,,,,,,,,,,,,,,,,82,47,47,0,0,15,0,15,8,5,1,3,0,3,1,0,2,0,0,3,
166498,Lowell Academy Hairstyling Institute,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,129,88,,,,,,,45,,,,,,,,,,,,,,,,,,,,,5,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,
166647,Massachusetts Bay Community College,4,1,1,21,4,2,6,2,0,1,1,3,1,,,19910,24854,,,,394,5376,3762,76,,,,,,,17,19,15,52620041,18,50,2,18,0,0,13,52,70,,92,59,51,48,0,67,52,336,149,149,0,0,51,4,47,59,6,12,0,0,59,6,0,44,9,0,13,
166674,Massachusetts College of Art and Design,1,1,1,11,2,2,30,14,8,13,3,11,1,61060,34670,34670,61060,0,56,351,0,14570,1770,92,79,69,82,20,23,19,74,67,76,68646772,37,45,0,9,0,0,9,55,69,,63,44,45,50,42,63,49,429,185,185,0,0,17,13,4,77,6,13,1,0,130,48,0,64,0,18,9,
167288,Massachusetts College of Liberal Arts,1,1,1,31,2,1,21,10,9,11,3,11,1,38970,30025,26420,35365,0,38,253,0,11590,1076,100,91,87,93,13,17,11,58,63,56,44184376,18,58,2,12,0,0,9,63,74,,,67,66,59,0,76,59,317,100,100,0,0,53,9,44,28,18,10,13,6,89,39,0,36,14,0,9,
166683,Massachusetts Institute of Technology,2,2,1,12,2,4,15,11,15,14,6,17,1,79850,79850,79850,79850,735,1898,1100,0,57986,4361,100,4,3,6,86,91,82,96,95,97,,,,,,,,,,,,,,,,,,,13065,5979,1486,4493,0,136,136,0,141,1543,1184,886,303,2893,527,37,1543,754,32,3,
166692,Massachusetts Maritime Academy,1,1,1,22,2,2,20,19,8,12,3,11,1,44760,30872,,,0,51,316,0,10634,1538,99,90,89,95,33,34,29,78,76,93,69490958,34,38,1,7,0,13,8,44,63,,,46,44,37,0,51,38,275,110,110,0,0,35,4,31,20,19,14,12,4,61,20,0,15,14,12,13,
166805,Massachusetts School of Barbering,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,95,83,,,,,,,72,,,,,,,,,,,,,,,,,,,,,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,20,
369002,Massachusetts School of Law,2,2,1,21,1,1,31,0,3,0,7,18,1,,,,,49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25,24,0,1,5,2,3,2,2,0,1,0,4,0,0,3,1,0,,
166823,Massasoit Community College,4,1,1,21,4,2,8,3,0,1,1,3,1,,,18222,23166,,,,735,5376,5665,75,,,,,,,16,15,18,82272491,25,41,1,27,0,4,3,50,67,,31,67,65,46,0,61,50,552,244,240,3,1,92,9,83,67,6,17,16,0,110,41,0,62,7,0,14,
166656,MCPHS University,2,2,1,11,2,3,26,20,18,11,5,13,2,62134,62134,62134,62134,634,761,932,0,37230,3970,99,98,97,98,16,19,15,67,60,70,,,,,,,,,,,,,,,,,,,1011,517,517,0,0,90,12,78,135,12,36,17,122,82,30,0,51,1,0,12,
166850,Merrimack College,2,2,1,21,2,3,18,19,6,10,4,14,1,69941,69941,69941,69941,0,721,931,0,49196,4202,99,80,80,81,12,12,11,69,66,72,,,,,,,,,,,,,,,,,,,700,264,264,0,0,135,6,129,39,22,14,92,4,130,60,0,70,0,0,15,
166869,MGH Institute of Health Professions,2,2,1,11,2,2,26,20,13,10,6,9,2,,,,,150,244,186,0,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,137,120,17,0,29,1,28,23,17,14,0,0,41,0,0,41,0,0,10,
166887,Middlesex Community College,4,1,1,21,4,3,2,1,0,1,1,3,1,,,19748,25820,,,,724,6048,6885,90,,,,,,,21,20,21,85642778,23,42,0,26,0,2,6,59,73,,0,48,69,51,0,69,59,486,195,195,0,0,99,10,89,49,28,27,11,0,77,35,0,42,0,0,18,
425986,Mildred Elley-Pittsfield Campus,9,3,2,13,6,1,-2,-2,-2,-2,-2,-2,-2,,,30833,30833,,,,0,16052,202,98,,,,,,,34,,,,,,,,,,,,,,,,,,,,,20,9,9,0,0,5,0,5,1,0,1,0,0,4,0,3,1,0,0,22,
451264,Millennium Training Institute,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,,,,,,,,,0,,227,93,,,,,,,84,,,,,,,,,,,,,,,,,,,,,14,4,4,0,0,3,0,3,5,0,1,0,0,1,0,0,1,0,0,14,
166911,Montserrat College of Art,2,2,1,21,2,1,22,12,0,10,2,8,2,58450,58450,57450,57450,0,0,74,0,37850,353,100,,,,,,,63,65,62,,,,,,,,,,,,,,,,,,,80,38,38,0,0,19,2,17,6,5,4,2,1,5,3,0,2,0,0,12,
433040,Monty Tech,7,1,2,22,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,40,92,100,100,100,100,100,100,77,,,493500,78,0,0,22,0,0,0,54,54,,,,,,,54,54,5,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,
414124,Motoring Technical Training Institute,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,519,66,,,,,,,92,,,,,,,,,,,,,,,,,,,,,38,18,18,0,0,0,0,0,5,5,0,3,0,7,0,3,3,1,0,15,
166939,Mount Holyoke College,2,2,1,21,2,2,21,7,1,14,3,11,1,77678,77678,75418,75418,0,60,577,0,58498,1915,100,52,,52,29,,29,85,,85,,,,,,,,,,,,,,,,,,,824,226,226,0,0,75,29,46,78,54,69,43,4,275,159,3,68,39,6,10,
166957,Mount Wachusett Community College,4,1,1,41,4,2,7,3,0,1,1,2,1,,,20760,25680,,,,536,5760,3187,84,,,,,,,21,22,21,56181464,16,40,2,36,0,1,3,54,81,,62,78,63,45,18,69,55,393,123,123,0,0,14,4,10,58,16,7,67,1,107,43,0,57,7,0,13,
165635,National Aviation Academy of New England,6,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,377,85,,,,,,,72,73,43,,,,,,,,,,,,,,,,,,,32,12,12,0,0,1,0,1,9,0,0,0,0,10,0,4,6,0,0,27,
167093,New England College of Optometry,2,2,1,11,1,1,26,0,8,0,7,18,1,,,,,118,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,61,59,2,0,7,3,4,17,10,3,1,11,31,15,0,14,1,1,,
373678,New England Hair Academy,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,302,85,,,,,,,76,,,,,,,,,,,,,,,,,,,,,14,8,8,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,12,
167215,New England Law-Boston,2,2,1,11,1,2,31,0,3,0,7,18,1,,,,,283,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,71,54,17,0,11,8,3,24,6,7,0,0,5,4,0,1,0,0,,
468963,New England Tractor Trailer Training School of Massachusetts,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,784,84,,,,,,,74,,,,,,,,,,,,,,,,,,,,,54,33,33,0,0,3,0,3,2,4,0,0,0,12,1,9,2,0,0,13,
167260,Nichols College,2,2,1,21,2,2,19,19,10,10,3,11,1,56510,56510,51060,51060,0,108,294,4,38800,1279,100,85,84,87,17,19,13,58,54,64,,,,,,,,,,,,,,,,,,,211,81,81,0,0,29,1,28,29,7,4,34,5,22,4,0,14,4,0,16,
167297,North Bennet Street School,5,2,2,11,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,189,72,,,,,,,90,92,86,,,,,,,,,,,,,,,,,,,34,16,16,0,0,3,0,3,8,1,0,0,0,6,1,1,4,0,0,9,
167312,North Shore Community College,4,1,1,21,4,2,4,2,0,1,1,3,1,,,21252,26820,,,,729,5352,4783,67,,,,,,,22,15,27,72171239,18,47,2,30,0,0,3,54,73,,,74,75,34,0,66,54,492,197,197,0,0,55,12,43,50,11,12,27,1,139,43,0,88,4,4,12,
167358,Northeastern University,2,2,1,11,2,5,15,17,15,14,5,17,1,81422,81422,81422,81422,701,4016,4453,0,60192,15156,82,18,16,20,33,33,32,91,90,92,,,,,,,,,,,,,,,,,,,4947,2034,1746,288,0,669,49,620,185,561,467,462,53,516,200,0,217,85,14,15,
482705,Northeastern University Professional Programs,2,2,1,11,2,3,17,19,4,5,6,12,1,,,,,284,2175,582,0,,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,434,434,0,0,38,0,38,5,18,5,32,0,10,0,0,10,0,0,15,
167376,Northern Essex Community College,4,1,1,21,4,2,4,2,0,1,1,3,1,,,23524,29308,,,,465,5688,4715,76,,,,,,,14,12,17,70036951,17,43,0,29,0,2,9,55,63,,92,63,56,48,0,68,55,389,130,130,0,0,81,7,74,70,9,29,1,0,69,7,0,54,8,0,20,
217606,Northpoint Bible College,2,2,1,21,2,1,24,20,3,7,3,7,2,32262,32262,38060,38060,0,9,47,6,14160,258,72,,,,,,,51,50,51,,,,,,,,,,,,,,,,,,,68,23,23,0,0,5,1,4,7,0,0,1,0,32,17,0,13,2,0,9,
167455,Pine Manor College,2,2,1,21,-2,-2,22,13,3,12,3,8,-2,,,,,,,,,,192,94,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,49,21,20,1,0,9,2,7,0,6,0,5,0,8,0,1,2,4,1,5,
167464,Pope St John XXIII National Seminary,2,2,1,21,1,1,24,0,3,0,7,18,2,,,,,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,16,16,0,0,0,0,0,4,2,0,0,0,11,6,1,4,0,0,,
167525,Quincy College,1,1,1,21,3,2,3,1,0,1,1,2,1,,,28304,28304,0,0,0,296,7344,3154,61,,,,,,,14,9,18,24236133,58,0,0,41,0,0,0,49,60,,,53,60,47,0,58,49,166,83,78,5,0,36,2,34,14,7,6,5,0,15,10,0,5,0,0,27,
167534,Quinsigamond Community College,4,1,1,12,4,3,4,2,0,1,1,3,1,,,20328,25272,,,,898,5830,6950,83,,,,,,,20,20,21,96161621,19,35,0,40,0,0,6,48,54,,54,54,54,54,0,61,48,631,255,255,0,0,59,9,50,81,26,29,63,4,114,43,0,64,5,2,15,
167598,Regis College,2,2,1,21,2,2,18,19,8,10,5,11,1,67300,67300,67300,67300,71,540,385,147,46150,1308,100,89,83,91,10,10,10,61,52,64,,,,,,,,,,,,,,,,,,,453,219,219,0,0,64,8,56,39,10,12,20,11,78,32,0,39,7,0,10,
165750,Rob Roy Academy-Fall River,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,124,70,,,,,,,70,,,,,,,,,,,,,,,,,,,,,8,3,3,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,0,10,
167039,Rob Roy Academy-New Bedford,9,3,2,22,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,19,83,,,,,,,67,,,,,,,,,,,,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
168032,Rob Roy Academy-Taunton,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,43,83,,,,,,,67,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,
373696,Rob Roy Academy-Worcester,9,3,2,12,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,175,93,,,,,,,73,,,,,,,,,,,,,,,,,,,,,25,9,9,0,0,2,0,2,5,2,0,0,0,7,2,0,5,0,0,12,
167631,Roxbury Community College,4,1,1,11,4,2,1,1,0,1,1,2,1,,,20542,25534,,,,132,5784,1200,71,,,,,,,28,26,28,26916587,9,63,1,18,0,0,8,39,73,,0,40,48,63,0,52,39,196,57,56,1,0,51,6,45,40,5,6,1,2,34,13,0,15,5,1,15,
167677,Saint John's Seminary,2,2,1,11,2,1,24,20,3,11,6,8,2,,,,,0,28,4,0,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,21,21,0,0,1,0,1,2,2,0,0,0,6,1,0,5,0,0,4,
167729,Salem State University,1,1,1,21,2,3,18,16,4,11,4,13,1,36899,29916,27426,34409,0,527,1237,0,11978,5716,93,90,85,92,17,20,15,57,49,61,173706208,36,39,1,18,0,3,3,55,79,,71,65,54,77,16,64,51,939,433,433,0,0,125,18,107,34,84,43,52,13,155,83,0,52,14,6,13,
412535,Shawsheen Valley School of Practical Nursing,7,1,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,17,50,,,,,,,100,,,171918,53,0,0,32,0,0,15,99,100,,,100,100,100,0,100,99,8,5,5,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,8,
165060,Signature Healthcare Brockton Hospital School of Nursing,5,2,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,380,100,43,100,38,50,100,40,57,0,67,,,,,,,,,,,,,,,,,,,32,22,22,0,0,1,1,0,1,1,1,1,0,5,0,0,5,0,0,8,
167783,Simmons University,2,2,1,11,2,3,17,13,18,13,6,14,1,64548,64548,64548,64548,65,1412,411,0,44350,1736,100,84,,84,14,,14,71,,71,,,,,,,,,,,,,,,,,,,793,453,453,0,0,51,13,38,60,75,25,36,5,88,25,0,53,10,0,9,
167835,Smith College,2,2,1,21,2,2,21,7,13,14,4,11,1,82134,82134,71468,71468,10,128,596,0,58768,2183,83,30,,30,37,,37,91,100,91,,,,,,,,,,,,,,,,,,,1178,344,343,1,0,117,39,78,72,144,72,49,5,375,182,1,138,38,16,9,
167871,Southeastern Technical Institute,7,1,2,41,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,190,73,28,28,28,100,100,100,56,,,2011582,26,36,1,16,22,0,0,74,74,,,79,78,69,0,76,74,22,16,16,0,0,1,0,1,3,0,0,0,0,2,0,0,2,0,0,7,
457624,Southern Worcester County Regional Vocational School District,7,1,2,41,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,30,62,,,,,,,70,,,517071,81,0,0,19,0,0,0,81,83,,,100,100,53,,81,81,8,6,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,
497888,Spa Tech Institute-North Andover,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445656,Spa Tech Institute-Plymouth,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,256,89,,,,,,,77,,,,,,,,,,,,,,,,,,,,,11,5,5,0,0,3,0,3,2,0,0,0,0,1,0,0,1,0,0,26,
445647,Spa Tech Institute-Westboro,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,256,89,,,,,,,76,,,,,,,,,,,,,,,,,,,,,18,10,10,0,0,3,0,3,3,0,0,0,0,2,0,0,2,0,0,12,
167899,Springfield College,2,2,1,12,2,2,17,16,17,14,5,11,1,58964,58964,58964,58964,55,315,473,0,41694,2187,100,77,74,80,23,24,23,73,69,77,,,,,,,,,,,,,,,,,,,626,257,257,0,0,67,11,56,46,35,19,28,11,163,80,0,72,10,1,11,
475273,Springfield College-Regional  Online  and Continuing Education,2,2,1,12,2,1,20,19,10,5,5,6,1,,,,,0,58,114,0,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,31,31,0,0,9,0,9,2,2,0,0,0,7,0,0,7,0,0,8,
167905,Springfield Technical Community College,4,1,1,12,4,2,7,3,0,1,1,3,1,,,21534,26742,,,,718,5520,4327,95,,,,,,,24,25,24,81600539,13,45,2,31,0,4,5,41,47,,,35,37,59,0,54,40,428,185,185,0,0,25,8,17,43,18,10,7,10,130,43,0,83,4,0,12,
167996,Stonehill College,2,2,1,21,2,2,21,13,10,12,3,11,1,69600,69600,66238,66238,0,31,544,0,52000,2430,100,72,66,77,12,14,11,85,83,86,,,,,,,,,,,,,,,,,,,567,213,213,0,0,10,9,1,102,9,38,47,3,145,83,0,50,12,0,11,
168005,Suffolk University,2,2,1,11,2,3,17,13,13,12,5,13,1,65464,65464,68455,68455,334,620,1115,1,43332,4396,97,88,85,90,15,16,14,60,55,65,,,,,,,,,,,,,,,,,,,1051,421,421,0,0,45,22,23,77,231,48,62,8,159,58,0,101,0,0,13,
497499,Technology Learning Center,9,3,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167057,The New England Conservatory of Music,2,2,1,11,2,1,30,8,13,14,5,8,2,77870,77870,77870,77870,4,103,85,0,55910,404,96,43,48,38,22,21,23,83,78,89,,,,,,,,,,,,,,,,,,,358,220,220,0,0,7,7,0,52,17,3,26,4,29,12,0,15,2,0,5,
434344,Toni & Guy Hairdressing Academy-Worcester,9,3,2,12,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,389,81,,,,,,,79,,,,,,,,,,,,,,,,,,,,,23,12,12,0,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,17,
459408,Tri County Regional Vocational Technical High School,7,1,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,50,100,,,,,,,100,,,603648,58,0,0,31,11,0,0,69,85,,,61,,0,,79,69,7,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,9,
168148,Tufts University,2,2,1,21,2,4,15,8,14,14,5,17,1,84600,84600,84600,84600,704,1322,1457,0,65222,6114,46,11,12,11,50,52,49,94,93,95,,,,,,,,,,,,,,,,,,,4414,1503,1129,374,0,137,45,92,558,417,313,158,231,1097,485,0,534,74,4,10,
166708,University of Massachusetts Chan Medical School,1,1,1,12,1,2,27,0,17,0,7,18,1,,,,,245,44,0,0,,,,,,,,,,,,,970804162,4,6,8,29,0,10,44,38,60,35,30,59,77,59,0,47,39,5058,2007,1441,566,0,20,20,0,149,1185,234,15,984,464,125,0,233,59,47,,
166629,University of Massachusetts-Amherst,1,1,1,21,2,5,15,14,15,14,4,17,1,54694,33475,33475,54694,395,1722,5887,21,16952,24233,88,66,58,72,17,19,16,84,82,86,1189876075,36,34,5,16,0,2,7,50,56,52,39,44,50,45,0,61,47,6043,1874,1565,285,24,439,78,361,258,426,529,302,91,2124,1140,6,637,251,90,18,
166638,University of Massachusetts-Boston,1,1,1,11,2,4,16,13,18,13,4,15,1,55723,34750,33831,54804,104,809,2754,0,15132,12871,95,79,74,82,17,22,15,49,45,53,506598000,36,30,4,20,0,2,9,44,54,41,38,47,45,36,0,58,43,1884,848,848,0,0,78,22,56,81,108,158,340,25,246,30,0,196,7,13,15,
166665,University of Massachusetts-Central Office,0,1,1,11,-2,-2,-2,-2,-2,-2,-2,-2,2,,,,,,,,,,,,,,,,,,,,,121946000,5,0,3,5,0,13,73,41,32,43,55,,,43,0,58,41,305,0,0,0,0,0,0,0,79,86,101,19,0,20,0,0,19,1,0,,
167987,University of Massachusetts-Dartmouth,1,1,1,22,2,3,16,13,17,13,4,14,1,50657,34519,29026,45164,128,452,1229,0,14854,6027,97,92,91,94,17,19,16,54,49,60,249740000,33,38,3,16,0,2,8,43,52,45,43,35,44,37,0,55,42,1075,446,444,2,0,43,14,29,145,41,78,52,6,264,85,0,144,22,13,15,
166513,University of Massachusetts-Lowell,1,1,1,21,2,4,16,14,17,9,4,16,1,51100,32732,25402,43770,171,1361,2832,32,16182,13813,90,85,83,86,18,21,15,69,66,74,471662000,44,28,4,17,0,3,4,44,55,38,40,39,48,29,0,55,42,1826,812,766,46,0,13,3,10,363,88,137,106,15,292,122,0,141,26,3,18,
373711,Upper Cape Cod Regional Technical School,7,1,2,22,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,88,100,91,100,90,100,100,100,92,,,770870,83,0,0,17,0,0,0,87,87,,,,,,,100,87,7,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,15,
429128,Urban College of Boston,5,2,1,11,4,1,13,4,0,1,1,1,2,,,18287,18287,,,,83,7104,554,100,,,,,,,30,0,75,,,,,,,,,,,,,,,,,,,41,23,23,0,0,6,0,6,6,1,0,0,0,5,0,0,5,0,0,9,
168218,Wellesley College,2,2,1,21,2,2,21,6,0,14,2,11,1,83050,83050,65770,65770,0,0,563,0,61920,2280,66,16,,16,49,,49,92,,92,,,,,,,,,,,,,,,,,,,1032,355,355,0,0,50,32,18,80,66,84,67,6,324,205,0,73,42,4,8,
168227,Wentworth Institute of Technology,2,2,1,11,2,2,20,19,8,12,3,14,2,57380,57380,57380,57380,0,112,848,30,38760,4195,100,90,89,91,19,21,14,72,69,82,,,,,,,,,,,,,,,,,,,565,221,221,0,0,52,9,43,74,27,63,41,4,83,23,0,33,27,0,16,
168254,Western New England University,2,2,1,12,2,2,17,16,16,10,4,14,1,62230,62230,56900,56900,173,180,593,1,44500,2552,98,90,89,91,14,14,13,63,61,67,,,,,,,,,,,,,,,,,,,683,251,251,0,0,25,11,14,112,26,25,49,7,188,111,0,54,19,4,13,
168263,Westfield State University,1,1,1,21,2,2,18,13,8,11,4,14,1,34486,28406,28406,34486,0,246,981,0,11500,4633,90,94,91,97,23,26,22,61,55,65,121826365,36,34,0,17,0,4,8,45,50,,14,51,53,46,0,62,42,807,281,281,0,0,76,11,65,79,27,30,33,2,279,73,0,74,132,0,21,
