"VariableName","Value","ValueLabel"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","5","Four-year, higher part-time"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","6","Four-year, medium full-time, inclusive, lower transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","7","Four-year, medium full-time, inclusive, higher transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","9","Four-year, medium full-time , selective, higher transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","10","Four-year, full-time, inclusive, lower transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","11","Four-year, full-time, inclusive, higher transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","12","Four-year, full-time, selective, lower transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","13","Four-year, full-time, selective, higher transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","14","Four-year, full-time, more selective, lower transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","15","Four-year, full-time, more selective, higher transfer-in"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","0","Not classified (Exclusively Graduate)"
"Carnegie Classification 2021: Undergraduate Profile (HD2022)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","1","Exclusively undergraduate two-year"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","2","Exclusively undergraduate four-year"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","3","Very high undergraduate"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","4","High undergraduate"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","5","Majority undergraduate"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","6","Majority graduate"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","7","Exclusively graduate"
"Carnegie Classification 2021: Enrollment Profile (HD2022)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2021: Size and Setting (HD2022)","1","Two-year, very small"
"Carnegie Classification 2021: Size and Setting (HD2022)","2","Two-year, small"
"Carnegie Classification 2021: Size and Setting (HD2022)","3","Two-year, medium"
"Carnegie Classification 2021: Size and Setting (HD2022)","4","Two-year, large"
